id:ID,text,ord:int,:LABEL
p1,"自然语言处理 (Natural      Language       Processing,NLP)  既是人工智能 (Artificial      Intelligence,AI)    的一个分支，也是计算机科学(computer     science)和语言学(linguistics)      的交叉学科，它的目标是运用计算机处理、理解自然语言，从而完成一些有意义的信息  处理任务。作为交叉学科，自然语言处理又称为计算语言学(computational      linguistics)。 自然语言处理是人工智能的挑战性分支，从信息感知角度来说，有别于其他分支，如计  算机图像/视觉 (image/vision) 、 语音 (speech/voice)     处理，自然语言处理的目标是文  本 (text) 。 这里需要注意的是，虽然“自然语言处理”这一术语中带有“语言”二字， 但其更多指向的是文本对象；而理论语言学中的“语言”多指语音对象①。这是因为，最  初不管是自然语言处理还是计算语言学，是既包含文本处理也包含语音处理的，直到20  世纪90年代，自然语言处理和语音处理才在学术界分家。理论语言学(为区分于计算  语言学，也称之为纯语言学)的研究具有数百年的悠久历史；相比之下，自然语言处理  所属的现代计算机学科的存在还不到80年，但是发展迅猛，研究子领域之间也分分合  合，术语含义也不断迁移。",1,Paragraph
p2,"自然语言(有时也称为人类语言)的出现是智能展示的相对完备形式。从进化尺度 上看，人类进化史约上百万年，人类语言(不要求有文字)的出现应不早于十万年前，而 文字(现代自然语言处理的研究对象)的出现更是在一万年以内，也就是说自然语言处 理研究的是全部人类历史最近1%时间内的产物。",2,Paragraph
p3,"在进入自然语言处理学习之前，推荐读者先修以下课程： (1)数学基础课程，包括数学分析、概率论与数理统计、线性代数和矩阵理论、解 析几何等。 (2)计算机基础课程，包括数据结构与算法基础、编程语言(C/C++ 、Python       等 ) 以及机器学习基础。 在机器学习的实际操作上，特别建议读者最好提前熟悉PyTorch 、TensorFlow   等深 度学习工具。 本章将介绍自然语言处理的基本背景，其中包括：①概念和术语；②技术性挑战以 及机器翻译的背景介绍；③语言处理层次的概念；④结合自然语言处理应用介绍其历史 发展；⑤自然语言处理相关的学术出版体系。",3,Paragraph
p4,"1.1  自然语言处理的概念和术语",4,Paragraph
p5,"自然语言指人类语言，比如汉语、英语、德语或法语。听、说、读、写是自然语言 ①当然这不意味着理论语言学只研究语音所指的语言对象。理论语言学也研究文本，如乔姆斯基的句法学、韩礼德的 功能语法都是研究文本上的句法。在索绪尔的共时研究中，文本也是重要的对象。在理论语言学中，专门研究语音的是音位 学和音系学。 最常见的运用方式。人类语言也称作自然 (nature)     语言，是因为它是自然进化的产物， 是生产生活斗争中随着需求变化而产生的。作为比较，计算机编程语言是由人类创造的  一套符号和规则系统，用来将一套指令完整、精确地传达给一台计算机。编程语言在编  写时带有一定的意图(语义),同时遵循关于变量、函数、不同类型的括号等的规则(语  法)。编程语言与自然语言有很大区别。首先，相比于自然语言中使用的词典、词义、语  法规则，编程语言中用到的关键词很少并且含义确定，涉及的语法更少也更简单。其次， 编程语言所有的规则和定义都是预先设计好的，这使得它们能够被完整、精确地描述和  研究，不会造成任何疑惑；而自然语言由于多义词、同义词的存在，很容易产生歧义现  象。最后，由于编程语言中规则的严格性，使用者不能随意发挥和篡改；而自然语言中  充满了不规范、不完整甚至错误的表达，例如方言、俚语、行话、拼写错误、不规则的  标点符号等。正是自然语言的这些特点增加了自然语言处理的难度，也使其远比利用编  译器处理编程语言更复杂。",5,Paragraph
p6,"某种意义上，自然语言处理针对的对象——人类语言是符号系统中最复杂的，因此， 自然语言处理领域发展了最为精巧的符号系统处理技术。幸运的是，针对符号系统的  信息处理并不都是如此具有挑战性，编程语言就是这样一个处理技术“友好”的符号系  统。在最近20年的信息处理实践中，自然语言处理技术不仅用于自然语言，也被广泛迁  移到软件信息工程、编程语言处理、生物信息学以及化学信息学等领域，针对的处理对  象(符号系统)涵盖编程语言、蛋白质序列、人类基因组序列以及化学分子式表示(如  SMILES  码)等。当自然语言处理技术针对的对象不限于自然语言，甚至开始跨界处理  多种不同类型的符号系统时，自然语言处理就正在现实中走向某种意义上的“广义符号  处理”。",6,Paragraph
p7,"自然语言有两种形式：书面形式和口语形式，分别对应现在的自然语言处理和语音 处理。在20世纪90年代之前，自然语言处理主要依赖于规则方法，而非今天流行的以 统计为基础的方法。虽然实际能应用的统计和数学知识甚至已经存在了一两个世纪，但 是由于当时的计算能力极为有限，计算机硬件条件无法支持需消耗巨大计算资源的统计 方法，从而使得历史上的自然语言处理界只能囿于规则方法。自然语言处理是众多子任 务的总和，其中也曾经包含语音处理任务。语音处理可以简单分为语音合成和语音识别 两个处理方向相反的子任务，相对其他繁杂的文本处理来说，其任务模式较为单一，同 时又非常依赖于统计语言模型，因此，开始就需要统计方法支持的语音处理与一直囿于 规则方法的早期自然语言处理的其他分支早早就分道扬镳了。到了21世纪，由于大众 可用的计算能力的普遍提升，统计方法才开始被越来越广泛地应用于自然语言处理的各 个分支。由于这样的历史，导致了现在的“自然语言处理”中的“语言”颇为吊诡地仅 仅指的是文本。",7,Paragraph
p8,"1.1.2     自然语言处理与自然语言理解 自然语言处理集合了通过算法、统计或常识等处理语言的各类方法。自然语言处理 任务大致可以分为两类： (1)基本任务，包括语言建模和表示以及语言结构和分析，后者又包括形态分析(含 分词)、句法分析、语义分析和篇章分析等。 (2)应用型任务，包括对话系统、机器翻译、语言理解和语言推理等任务。 很长一段时间以来，作为人工智能的分支，业界更多地用“自然语言理解”称呼“自  然语言处理”这一研究方向。自然语言理解 (Natural      Language       Understanding,NLU)  研究的是对某种自然语言文本的真正理解，被认为是人工智能的核心难题，甚至是终极  难题。实际上，“自然语言处理”这一术语的广泛使用大约从20世纪90年代才开始， 比“自然语言理解”这一术语的使用晚很多。21世纪以来的很一段时间内，这两个术  语就所指的研究方向和研究内容而言都是一致的。两个术语的选用只是研究者的偏好问 题。“自然语言理解”这一术语更多地被人工智能中从事交叉方向研究(例如计算机视  觉、非单调推理、机器学习等)的研究者所采用；而“自然语言处理”这一术语则越来  越多地被从事单一语言处理研究的研究者所采用。",8,Paragraph
p9,"自然语言理解一度也被认为是自然语言处理的下一个预期的阶段，但在很长一段时  间内，由于其过大的挑战性，“自然语言理解”只是人们憧憬的美好目标，而无具体的实  际操作实践。这也导致了用“自然语言理解”指代整个研究领域的这一做法的减少，相  关研究者越来越愿意称自己研究的是“自然语言处理”。随着可用信息资源的增多，使得  更复杂的神经网络成为可能，研究者向着让计算机能够真正理解人类语言的前沿迈进。 现在“自然语言理解”的使用在减少，并且“自然语言理解”的概念被逐渐窄化，开始  限定于指真正、具体的、在20世纪第二个10年才首次出现的自然语言理解任务，如  现在流行的机器阅读理解 (Machine      Reading      Comprehension,MRC) 和自然语言推理  (Natural     Language     Inference,NLI) 这两个任务。今天，针对这两个术语的使用，研究者  回归了自然语言理解和自然语言处理字面意义所指的常态，达成了相对一致的共识：“自  然语言处理”是方法和手段，而“自然语言理解”是目标。",9,Paragraph
p10,"事实上，自然语言理解的挑战性很多就是源于自然语言处理上的挑战。例如，词、 短语组合的多样性会导致不同的语言含义，不联系上下文以及环境约束会造成语言歧义  性，语言作为开放符号集合可以任意地发明创造一些新的表达方式，语言理解多需要外  部知识支撑，等等，导致了机器在自然语言理解上的表现至今还远不如人类。另外，自  然语言理解的任务目标除了要求计算机理解语言的字面含义(语义)以外，还需要理解  语言的“言外之意”(语用),例如“我觉得好冷啊”在语义上表明冷，而语用上就需要  探究这句话背后的含义，例如说话者是否想要调高空调温度等。在人机对话中，自然语  言交互涉及语法、语义、语用3个层面，如果希望机器能够真正读懂人类语言的复杂语  义，研究者需要在自然语言处理的基础上综合引入认知语言学、心理语言学、社会语言  学等学科的知识信息，在语义理解的基础上增加意图识别和情感判断，以弥补纯粹的语  言处理的不足，让计算机能够真正读懂人类语言的复杂语义以及背后的意图和情感，并  在此基础上给予对话者拟人的反馈，从而达到更好的交互效果。",10,Paragraph
