start_id,end_id,type,doc_id
2014年,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
20世纪90年代,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
20世纪第二个10年,机器阅读理解,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
20世纪第二个10年,自然语言推理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
21世纪,统计方法,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
ACL,计算语言学,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
BLEU,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
BLEU,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
EMNLP,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
Google DeepMind,神经机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,IBM研究中心,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,n元语言模型,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
IBM模型,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
MERT方法,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
PyTorch,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
SMILES码,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
TensorFlow,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
n元语言模型,最小错误率训练,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
n元语言模型,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
上海,中国,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
上海交通大学,命名实体,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人工智能,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人工智能,计算机视觉,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人类基因组序列,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人类语言,自然语言,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
人类语言,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,图1.2,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,常识知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,形式语义,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,统计机器学习模型,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,自然语言,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,自然语言处理,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,词性,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,语法,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
修饰语附着问题,量词范围问题,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
印欧语系,德语,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
印欧语系,英语,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
双语平行语料库,统计机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
双语词典,机器翻译,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
古特雷斯,联合国秘书长,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
句子结构,翻译系统,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
句法,语言学知识,RELATED,doc-ca532c518f704809a3340c2e77a6ad52
